sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PET05	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.13682139026755	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_160526_PET100	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	1.93200195545205	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_160526_PS05	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.61989635280835	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_160526_PS100	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	1.26556563710552	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_160526_untreated	Untreated	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.66975739352252	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_A_190626_PET05	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	0	NA	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_A_190626_PET100	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	0.511760392984932	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_A_190626_PS05	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	1.39944138859581	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_A_190626_PS100	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	0.636409952753713	0	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
MDM_A_190626_untreated	Untreated	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0.824913961709336	2.53708141627387	0.325142881272159	kruskal_wallis	0.124700056696731	0.994839233397245	ns	0.206834468141197	0.295360523151432
