"samples"	"LV1"	"LV2"
"20260624_CVOL_Darleen_MDM_160526_PET05.mzML"	-20.3941164977239	0.521405783193718
"20260624_CVOL_Darleen_MDM_160526_PET100.mzML"	-26.0245267635907	1.09930488887923
"20260624_CVOL_Darleen_MDM_160526_PS05.mzML"	-20.0668895942578	2.50700276370776
"20260624_CVOL_Darleen_MDM_160526_PS100.mzML"	-23.7688044028932	8.63672157114985
"20260624_CVOL_Darleen_MDM_160526_untreated.mzML"	-21.2938580995959	-0.164386791947356
"20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML"	-0.0173025546429791	-0.0235095959154594
"20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML"	-23.6600152574351	-15.6974317604209
"20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML"	-22.9234306548147	-1.48010829037048
"20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML"	-20.7832124294693	2.60534750636966
"20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML"	-23.1103545043341	-1.86226028449576
"20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML"	-22.4269202377792	2.85687702883139
"20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML"	-19.3998316381616	-7.16490842126599
"20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML"	-24.2971141717727	-1.54916980566089
"20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML"	-25.2762179913075	7.29064850222108
"20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML"	-19.7273166088219	1.5802494204545
