sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	34114366377.95	2.9719842624875e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_110626_PET100	PET	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1449863.1	35458165160.66	4.08894000417311e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_110626_PS05	PS	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	34785738556.84	2.91462433187476e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_110626_PS100	PS	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	39295522102.6	2.58012502633962e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_110626_untreated	Untreated	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	5163508	40726922534.5	0.000126783652647115	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_180626_PET05	PET	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	31199184663.6	3.24967979430207e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_180626_PET100	PET	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	36474343757.1	2.77968976426791e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_180626_PS05	PS	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	36381542275.7	2.78678015438941e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_180626_PS100	PS	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	1013873.6	38000221483.6	2.66807287014778e-05	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
A549_180626_untreated	Untreated	raw	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1440	5288095.5	38180285352.2	0.000138503299575138	kruskal_wallis	0.121865328382155	0.833578694455869	ns	5.75412243520903e-05	5.43420536340481e-05
