sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
MDM_160526_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	6651710.2	877091373.9	0.0075838280912775	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_160526_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	35781655.2	719115917.9	0.0497578405780413	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3041620.8	154388751.9	0.0197010518095911	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	71768877.2	10556045796.8	0.00679884102262575	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3233320.1	8195354836.4	0.000394530824417642	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	25582287.2	4981492138.2	0.00513546674174695	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	4093177.3	7088900344.6	0.000577406523018481	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_120626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	4370072.4	7364168721.5	0.000593423720350321	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	5070638.7	6775025783.1	0.000748430908211225	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3041620.8	7636027125.6	0.000398325038658241	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3864838.6	5539891023.3	0.000697638019185763	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3041620.8	6279276710.7	0.000484390311198903	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
