sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_210626_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	42962798740.1	4.71977445479447e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
A549_210626_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	6121197.5	37950422097.55	0.000161294582818228	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_160526_PET05	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	22473036077.3	9.02302293746694e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_160526_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	28244838693.3	7.17917783853729e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_160526_PS05	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	20456769507.4	9.91235297081724e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_160526_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	30211472297.4	6.7118450237677e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_160526_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	26519025548.7	7.64638653964192e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_A_190626_PET05	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	1459977984	0.00138888888888889	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_A_190626_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	3169812.6	38894935316.3	8.1496795771032e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_A_190626_PS05	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	3827318.1	28257831826.4	0.00013544273755725	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_A_190626_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2027747.2	25448591356.4	7.96801352028487e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_A_190626_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	4137008.6	26876593288.9	0.000153926078187468	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_B_120626_PS05	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2465216.2	26269246863.4	9.38441902357961e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_B_190626_PET05	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2219189	26270617827.66	8.44741838413653e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_B_190626_PET100	PET	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	3386543.5	29419865311.6	0.000115110775121894	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_B_190626_PS100	PS	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	2804058	31808703086.2	8.81537984243225e-05	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
MDM_B_190626_untreated	Untreated	raw	superclass	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	pathway	Fatty acids	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	NPC superclass: Fatty acyl glycosides / NPC pathway: Fatty acids	Fatty acyl glycosides	2	1440	4449130.1	23550848395.1	0.000188915916121548	kruskal_wallis	0.0756437522216446	0.833578694455869	ns	0.000109810200358881	7.62589249247844e-05
