sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_210626_untreated	Untreated	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	4588352.5	14764154882.5	0.000310776508138545	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_160526_PET05	PET	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	7189414.3	11424929845.4	0.000629274262274325	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_160526_PET100	PET	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	7266377	12419174723.5	0.000585093386781193	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_160526_PS05	PS	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	3886106.5	11192569017.8	0.00034720415784971	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_160526_PS100	PS	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	4713054.9	12332953384.6	0.000382151359291209	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_160526_untreated	Untreated	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	5411844.2	13761025227.8	0.000393273328869931	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_A_190626_PET05	PET	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	2027747.2	338567248.3	0.0059892006984776	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_A_190626_PET100	PET	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	5781189.4	25155865783	0.000229814765664192	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_A_190626_PS05	PS	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	4497258.1	14287611092.7	0.000314766273439357	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_A_190626_PS100	PS	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	5124379.6	8548257803.5	0.000599464793621675	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_A_190626_untreated	Untreated	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	4060080.7	10571590523.7	0.000384055804176096	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_B_120626_PS05	PS	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	4876721.6	13340032138.9	0.000365570453595783	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_B_190626_PET05	PET	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	2827371.8	16214852534.7	0.000174369257688245	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_B_190626_PET100	PET	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	5479889	12908450200.3	0.00042451951357202	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_B_190626_PS100	PS	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	2889431.5	12532100094.7	0.000230562433922945	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
MDM_B_190626_untreated	Untreated	raw	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	328	2027747.2	12215863240.9	0.000165992951952089	kruskal_wallis	0.355627669459155	0.978724215496853	ns	0.00053444330060913	9.03899422954123e-05
