"samples"	"LV1"	"LV2"
"20260624_CVOL_Darleen_A549_110626_PET05.mzML"	-11.3169190727377	-4.04127779506517
"20260624_CVOL_Darleen_A549_110626_PET100.mzML"	-14.9568721378147	-3.75561904031961
"20260624_CVOL_Darleen_A549_110626_PS05.mzML"	-12.720823738509	-1.71046685029779
"20260624_CVOL_Darleen_A549_110626_PS100.mzML"	-17.9560342106411	-4.31569512985771
"20260624_CVOL_Darleen_A549_110626_untreated.mzML"	-18.2650963047078	2.71562976569149
"20260624_CVOL_Darleen_A549_180626_PET05.mzML"	-5.90906036897193	-5.75566809013481
"20260624_CVOL_Darleen_A549_180626_PET100.mzML"	-14.2657634766081	-0.875254007217316
"20260624_CVOL_Darleen_A549_180626_PS05.mzML"	-13.9857518373462	5.87294976412467
"20260624_CVOL_Darleen_A549_180626_PS100.mzML"	-16.5852920292849	4.00300287637732
"20260624_CVOL_Darleen_A549_180626_untreated.mzML"	-15.1191985988013	6.98748594598666
"20260624_CVOL_Darleen_A549_210626_PET05.mzML"	-14.7726309335359	-6.00866941510723
"20260624_CVOL_Darleen_A549_210626_PET100.mzML"	-20.080280213273	-4.14825409823371
"20260624_CVOL_Darleen_A549_210626_PS05.mzML"	-12.1446515491556	6.91929009346759
"20260624_CVOL_Darleen_A549_210626_PS100.mzML"	-19.742854398774	1.29261007495254
"20260624_CVOL_Darleen_A549_210626_untreated.mzML"	-15.6484738270062	0.408344309142476
