sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	6170355.4	6.79031024962208	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_110626_PET100	PET	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	21067388	7.32361071438564	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_110626_PS05	PS	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	11754055.1	7.07018775919294	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_110626_PS100	PS	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	6985440.5	6.84419385997838	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_110626_untreated	Untreated	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	24479027.7	7.38879418150461	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_180626_PET05	PET	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	7455191.1	6.87245883851941	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_180626_PET100	PET	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	13536745	7.13151428000021	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_180626_PS05	PS	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	14114572.2	7.14966775037615	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_180626_PS100	PS	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	15401144.8	7.18755303227194	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_180626_untreated	Untreated	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	23441682.5	7.36998879798197	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_210626_PET05	PET	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	22859051.3	7.35905822127308	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_210626_PET100	PET	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	7881571	6.89661284729118	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_210626_PS05	PS	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	6079926.6	6.78389840770897	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_210626_PS100	PS	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	13031152.3	7.11498285390606	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
A549_210626_untreated	Untreated	raw	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	37509026	7.57413579851458	kruskal_wallis	0.031745636378068	0.546947111987581	ns	0.419225648761314	0.374730617858912
