sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0.831065486031295	2.45569018849977	0.338424403014376	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_110626_PET100	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.07204727828701	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_110626_PS05	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	3.08176091302409	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_110626_PS100	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0.740234635828413	2.76260865359096	0.267947700397674	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_110626_untreated	Untreated	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.16781420437614	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_180626_PET05	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	1.99973310459589	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_180626_PET100	PET	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.55635128564362	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_180626_PS05	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	1.46246575698626	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_180626_PS100	PS	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.92645982433521	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
A549_180626_untreated	Untreated	filtered	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	0	2.52297233207845	0	kruskal_wallis	0.317033827315433	0.877126922239365	ns	0.0836095814754133	0
