sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_210626_PS05	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	11408553.1	7.05723060619016	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
A549_210626_PS100	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	17166609.5	7.23468455337512	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
A549_210626_untreated	Untreated	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	12715651.9	7.10433866443996	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_160526_PET05	PET	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	14043356.9	7.14747096413838	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_160526_PET100	PET	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	24433218.9	7.38798070367651	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_160526_PS05	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	12957281.7	7.1125139342407	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_160526_PS100	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	25247568.5	7.40221957637373	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_160526_untreated	Untreated	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	13524046.2	7.13110667781865	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_A_190626_PET05	PET	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	7097115.2	6.85108191592435	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_A_190626_PET100	PET	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	24014638.3	7.38047606791872	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_A_190626_PS05	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	18504833.9	7.26728521467626	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_A_190626_PS100	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	28613110.6	7.45656508874652	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_A_190626_untreated	Untreated	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	28546431.5	7.45555184139544	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_B_120626_PS05	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	14815898.7	7.1707280292809	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_B_190626_PET05	PET	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	11873964.5	7.07459578274219	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_B_190626_PET100	PET	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	21111941.1	7.32452818615075	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_B_190626_PS100	PS	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	24293422.7	7.3854887247367	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
MDM_B_190626_untreated	Untreated	raw	class	Lipopeptides	NPC class: Lipopeptides	Lipopeptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	7	12557395	7.09889959003181	kruskal_wallis	0.42261641884432	0.988378473990811	ns	0.0679571055424342	0.0822375384484761
