"samples"	"LV1"	"LV2"
"20260624_CVOL_Darleen_A549_110626_PET100.mzML"	-24.6650927416593	0.940022197308333
"20260624_CVOL_Darleen_A549_110626_PS100.mzML"	-24.3689288143469	-4.80525557079276
"20260624_CVOL_Darleen_A549_110626_untreated.mzML"	-27.6973286614297	4.97053954666487
"20260624_CVOL_Darleen_A549_180626_PET100.mzML"	-23.6984003546508	1.13155378660115
"20260624_CVOL_Darleen_A549_180626_PS100.mzML"	-25.1595841022414	0.022116691765313
"20260624_CVOL_Darleen_A549_180626_untreated.mzML"	-26.9579865899269	11.8607164669182
"20260624_CVOL_Darleen_A549_210626_PET100.mzML"	-26.2707343685615	-4.11190545916183
"20260624_CVOL_Darleen_A549_210626_PS100.mzML"	-24.4819308145596	-7.09005841931953
"20260624_CVOL_Darleen_A549_210626_untreated.mzML"	-21.214583591438	1.85981358803476
"20260624_CVOL_Darleen_MDM_160526_PET100.mzML"	-20.1244610841994	-3.32375580364933
"20260624_CVOL_Darleen_MDM_160526_PS100.mzML"	-17.7448242064072	-12.9858886543802
"20260624_CVOL_Darleen_MDM_160526_untreated.mzML"	-15.5511104646663	2.07347652049625
"20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML"	-18.3992055232621	2.02106276149342
"20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML"	-13.6902764837398	-1.96443830548025
"20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML"	-17.1138672501357	2.81342766607986
"20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML"	-19.0122034449939	2.43379585703009
"20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML"	-19.2766885408334	-3.60292623042358
"20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML"	-14.3944312586996	5.63349744539428
