"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","PET_vs_PS_p_value","PET_vs_Untreated_p_value","PS_vs_Untreated_p_value","PET_vs_PS_p_value_minus_log10","PET_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_fold_change","PET_vs_Untreated_fold_change","PET_vs_PS_fold_change","PS_vs_Untreated_fold_change_log2","PET_vs_Untreated_fold_change_log2","PET_vs_PS_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","PET","PET.pval","PS","PS.pval","Untreated","Untreated.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
1485,"1485_436.34_5.6","diisononyl phthalate_[1485_436.34_5.6]",436.342159587902,5.597868,0.00822975450651253,0.230824855124201,0.0691907096913417,2.08461311959418,0.636717428349512,1.15995221480115,1.42275736313835,0.835718699721409,0.587393691555362,0.508689645810869,-0.258910677473427,-0.767600323284296,"Diisononyl Phthalate-d4","diisononyl phthalate","CHEBI:35459",0.478,0.478,-37.083,55.316,0.457,"InChI=1S/C26H42O4/c1-21(2)15-9-5-7-13-19-29-25(27)23-17-11-12-18-24(23)26(28)30-20-14-8-6-10-16-22(3)4/h11-12,17-18,21-22H,5-10,13-16,19-20H2,1-4H3","HBGGXOJOCNVPFY","C26H42O4","[M + H3N + H]+","CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C","Shikimates and Phenylpropanoids","Simple phenolic acids","Phenolic acids (C6-C1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41705050316284,0.173652694610778,2.61775625263929,0.0479041916167665,-1.29315150027968,0.688622754491018,1.48475816032219,0.167664670658683,0.282577777777778,0.161676646706587
1487,"1487_437.35_5.6","NA_[1487_437.35_5.6]",437.345490022833,5.598064,0.0061999879084168,0.167893260319794,0.0667447591607747,2.20760915748771,0.77496673724296,1.17558282969242,1.39996999425659,0.824703775360757,0.589086750961896,0.48539590602658,-0.27805208287521,-0.76344798890179,"1-Tert-butyl-3-[5-(7,7-dimethyloctylcarbamoylamino)-6-hydroxyhexyl]urea",NA,NA,0.025,0.025,-247.539,26.154,1,"InChI=1S/C22H46N4O3/c1-21(2,3)14-10-7-8-11-15-23-19(28)25-18(17-27)13-9-12-16-24-20(29)26-22(4,5)6/h18,27H,7-17H2,1-6H3,(H2,23,25,28)(H2,24,26,29)","RJYYTGIAVCLYLV","C22H46N4O3","[M + Na]+","CC(C)(C)CCCCCCNC(=O)NC(CCCCNC(=O)NC(C)(C)C)CO","Amino acids and Peptides","Tripeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.141716566866267,3.27912917891976,0.0219560878243513,0.301538758438308,0.335329341317365,2.97099389784131,0.0339321357285429,0.302546031746032,0.101796407185629
1530,"1530_729.59_5.8","NA_[1530_729.59_5.8]",729.590423414623,5.757466,0.0255283590235794,0.888417772628652,0.0150301316834269,1.59297710097754,0.0513827620581114,1.82303721441408,1.70889333409649,1.04973880187874,0.614279885662811,0.773062349516939,0.0700303982608699,-0.703031951256069,"[(E)-2-[[(Z)-heptadec-9-enoyl]amino]-3-hydroxynonadec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate",NA,NA,0.312,0.2,-268.952,20.432,0.027,"InChI=1S/C41H81N2O6P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-40(44)39(38-49-50(46,47)48-37-36-43(3,4)5)42-41(45)35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h19,21,32,34,39-40,44H,6-18,20,22-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/p+1","DELUIIJGTFULDH","C41H81N2O6P","[M + H]+","CCCCCCCCCCCCCCC=CC(C(COP(=O)(O)OCC[N+](C)(C)C)NC(=O)CCCCCCCC=CCCCCCCC)O","Fatty acids","Phosphosphingolipids","Spingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00100150250438,0.626746506986028,3.94280170426916,0.0219560878243513,1.67131567616219,0.219560878243513,3.37822261882099,0.06187624750499,0.231146031746032,0.526946107784431
1538,"1538_727.57_5.8","N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine_[1538_727.57_5.8]",727.572763340855,5.7878947,0.0490859225854263,0.0871177520765092,0.00302347706853068,1.30904304189066,1.05989333932853,2.51949332093876,1.85447198969501,1.2688276076706,0.684198852676806,0.891008477259482,0.343496067245442,-0.54751241001404,"[(2S,3R,4E,14E)-3-hydroxy-2-[[(E)-octadec-9-enoyl]amino]octadeca-4,14-dienyl] 2-(trimethylazaniumyl)ethyl phosphate","N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine","CHEBI:105799",0.402,0.402,-291.313,55.609,0.152,"InChI=1S/C41H79N2O6P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-41(45)42-39(38-49-50(46,47)48-37-36-43(3,4)5)40(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h11,13,20-21,32,34,39-40,44H,6-10,12,14-19,22-31,33,35-38H2,1-5H3,(H-,42,45,46,47)/p+1","YMTVMVYOUDDTQJ","C41H79N2O6P","[M + H]+","CCCCCCCCC=CCCCCCCCC(=O)NC(COP(=O)(O)OCC[N+](C)(C)C)C(C=CCCCCCCCCC=CCCC)O","Fatty acids","Phosphosphingolipids","Spingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21446541889315,0.25748502994012,4.10912484121823,0.029940119760479,3.27912917891976,0.0778443113772455,4.1773923375125,0.0518962075848303,0.332234920634921,0.211576846307385
1641,"1641_700.57_6.1","HexCer(d18:1/16:0)_[1641_700.57_6.1]",700.572696834861,6.1288466,0.044804737131211,0.0348106947604475,0.976368411068827,1.34867606633259,1.45828730887263,0.0103862799722008,0.972740050922605,0.688688029852102,0.707987739580486,-0.0398737753387009,-0.538077493250539,-0.498203717911838,"Beta-D-Glucosyl-N-Hexadecanoylsphingosine","HexCer(d18:1/16:0)","CHEBI:77462",0.752,0.504,-218.475,70.563,0.986,"InChI=1S/C40H77NO8/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(43)33(32-48-40-39(47)38(46)37(45)35(31-42)49-40)41-36(44)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27,29,33-35,37-40,42-43,45-47H,3-26,28,30-32H2,1-2H3,(H,41,44)","VJLLLMIZEJJZTE","C40H77NO8","[M + H]+","CCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCCCCCCCCCCCC)O","Fatty acids","Neutral glycosphingolipids","Spingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46966804341971,0.029940119760479,1.26693979201741,0.229540918163673,0.57754281555789,0.339321357285429,2.92762642956935,0.0738522954091816,0.264625396825397,0.411177644710579
1927,"1927_746.51_6.8","NA_[1927_746.51_6.8]",746.512061442262,6.7942305,0.0188942217772101,0.0303587022283054,0.912643476442363,1.72367099127402,1.51771679757011,0.0396988461821784,0.96006912142299,1.54517861679228,1.60944517672025,-0.0587898166115855,0.627773617848678,0.686563434460263,"1-(6-[3]-Ladderane-hexanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine",NA,NA,0.096,0.096,-481.561,26.526,1,"InChI=1S/C43H72NO7P/c44-21-23-50-52(46,47)51-27-30(26-49-39(45)12-8-5-7-11-29-14-16-36-38(25-29)43-34-20-18-32(34)41(36)43)48-22-9-4-2-1-3-6-10-28-13-15-35-37(24-28)42-33-19-17-31(33)40(35)42/h28-38,40-43H,1-27,44H2,(H,46,47)","RNZKRCZDBYPIQC","C43H72NO7P","[M + H]+","C1CC2C(CC1CCCCCCCCOC(COC(=O)CCCCCC3CCC4C(C3)C5C4C6C5CC6)COP(=O)(O)OCCN)C7C2C8C7CC8","Fatty acids","Glycerophosphocholines","Glycerophospholipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72769913379553,0.0279441117764471,2.12004437429114,0.127744510978044,1.00100150250438,0.287425149700599,3.52493139012871,0.0578842315369262,0.241634920634921,0.479041916167665
2024,"2024_454.47_7","NA_[2024_454.47_7]",454.472808349057,7.009847,0.0183355105545729,0.812718211561936,0.00932846995399639,1.73670699255112,0.0900600083753351,2.0301895829446,1.55524505029077,1.05159922226388,0.676163040716494,0.6371419147519,0.0725849800883251,-0.564556934663574,"2-[3-(2-Aminoethyl)-2-henicosylimidazolidin-1-yl]ethanol",NA,NA,0.061,0.061,-336.723,13.567,0.212,"InChI=1S/C28H59N3O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-28-30(23-22-29)24-25-31(28)26-27-32/h28,32H,2-27,29H2,1H3","GQUWSMHXGFFHDA","C28H59N3O","[M + H]+","CCCCCCCCCCCCCCCCCCCCCC1N(CCN1CCO)CCN","Alkaloids","Steroidal alkaloids","Pseudoalkaloids (transamidation)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.94881009766875,0.86626746506986,4.20058812350882,0.00798403193612774,0,0.413173652694611,2.16873978627625,0.135728542914172,0.265371428571429,0.311377245508982
3040,"3040_505.52_9.6","NA_[3040_505.52_9.6]",505.517784565271,9.605846,0.0432335026467073,0.246039600713188,0.407064059171781,1.36417957782479,0.608994986445071,0.390337241006568,1.23259403749194,0.802140045107267,0.650773913152661,0.301697717392602,-0.318073957030727,-0.619771674423329,"1,15-(Tetramethylene)-8,22-(tetramethylene)-1,8,15,22-tetraazacyclooctacosane",NA,NA,0.438,0.438,-94.834,2.531,0.306,"InChI=1S/C32H64N4/c1-2-10-22-34-24-12-5-6-14-26-35-27-15-7-8-16-28-36(32-20-19-30-34)25-13-4-3-11-23-33(21-9-1)29-17-18-31-35/h1-32H2","ILHXSXNSTDGEEK","C32H64N4","[M + H]+","C1CCCN2CCCCCCN3CCCCCCN(CCCCCCN(CC1)CCCC3)CCCC2","Alkaloids","Tricyclic guanidine alkaloids","Tryptophan alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9042342233658,0.149700598802395,2.68708616022302,0.0778443113772455,-1.73727046020804,0.80439121756487,1.77197581107507,0.153692614770459,0.237774603174603,0.572854291417166
3042,"3042_504.51_9.6","NA_[3042_504.51_9.6]",504.514357785405,9.6046915,0.0418925050605444,0.310435862794488,0.316634847289131,1.37786366920567,0.508028113077274,0.499441290507895,1.2474238892688,0.833053374046852,0.667818999790967,0.318951793178398,-0.263519162314711,-0.582470955493108,"N-(3-hydroxyoctadec-4-en-2-yl)hexadecanamide",NA,NA,0.338,0.338,-243.941,30.724,0.997,"InChI=1S/C34H67NO2/c1-4-6-8-10-12-14-16-18-20-22-24-26-28-30-33(36)32(3)35-34(37)31-29-27-25-23-21-19-17-15-13-11-9-7-5-2/h28,30,32-33,36H,4-27,29,31H2,1-3H3,(H,35,37)","OMAZTBDOTJASLA","C34H67NO2","[M - H2O + H]+","CCCCCCCCCCCCCCCC(=O)NC(C)C(C=CCCCCCCCCCCCCC)O","Fatty acids","Ceramides","Spingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70281238808668,0.06187624750499,0.832626928038062,0.287425149700599,0.258216104727995,0.375249500998004,1.99198655216195,0.131736526946108,0.157028571428571,0.860279441117764
3334,"3334_894.76_10.9","NA_[3334_894.76_10.9]",894.755178566895,10.875632,0.0248825048579261,0.14859613005467,0.378509951945033,1.60410590246924,0.827992500923945,0.421922697358115,0.867256146408902,1.30473265853082,1.50443748820161,-0.205469934685916,0.383754226930381,0.589224161616296,"2,3-di(tridecanoyloxy)propyl (7Z,10Z,13Z,16Z,19Z,22Z,25Z)-octacosa-7,10,13,16,19,22,25-heptaenoate",NA,NA,0.487,0.487,-122.234,104.794,1,"InChI=1S/C57H96O6/c1-4-7-10-13-16-19-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-39-41-44-47-50-56(59)62-53-54(63-57(60)51-48-45-42-38-21-18-15-12-9-6-3)52-61-55(58)49-46-43-40-37-20-17-14-11-8-5-2/h7,10,16,19,23-24,26-27,29-30,32-33,35-36,54H,4-6,8-9,11-15,17-18,20-22,25,28,31,34,37-53H2,1-3H3","QHPDBXPOWMFVLE","C57H96O6","[M + H3N + H]+","CCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCCCCCC","Fatty acids","Triacylglycerols","Glycerolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37099931231621,0.029940119760479,1.607706883878,0.171656686626747,1.88327384581129,0.153692614770459,3.03358186775755,0.0598802395209581,0.374987301587302,0.063872255489022
3376,"3376_922.79_11.1","NA_[3376_922.79_11.1]",922.786507144659,11.099665,0.0113905073396486,0.297249902176368,0.0789566103592166,1.94345693176788,0.526878279633646,1.1026115043846,0.777033882109623,1.21255708854397,1.56049448609875,-0.363950587006259,0.278052672594958,0.642003259601217,"1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol",NA,NA,0.185,0.185,-187.702,105.63,1,"InChI=1S/C59H100O6/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-33-24-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-32-30-28-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-28,31-32,34-35,41,44,56H,4-6,8-9,11-15,17-18,20-24,29-30,33,36-40,42-43,45-55H2,1-3H3","WPOTWZWCJSINBM","C59H100O6","[M + H3N + H]+","CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)OC(=O)CCCC=CCC=CCC=CCCCCCCCC","Fatty acids","Triacylglycerols","Glycerolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67131567616219,0.163672654690619,2.1932960518294,0.107784431137725,1.1353540996263,0.241516966067864,2.72497021443968,0.0499001996007984,0.231393650793651,0.265469061876248
3380,"3380_949.81_11.1","NA_[3380_949.81_11.1]",949.805243760338,11.13517,0.0225893154279174,0.547741031431338,0.0861007129080563,1.64609693022983,0.261424724733515,1.06499325260264,0.749358821005569,1.16255287436207,1.55139679653338,-0.416271394459925,0.217296333291835,0.63356772775176,"N-[3-[6-[2-[2,2-bis(octadeca-9,12-dienyl)-1,3-dioxolan-4-yl]ethyl-methylamino]hexanoylamino]propyl]-4-methoxybenzamide",NA,NA,-Inf,-Inf,-708.386,34.465,0.802,"InChI=1S/C59H101N3O5/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-47-59(48-38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-2)66-53-56(67-59)46-52-62(3)51-39-35-36-41-57(63)60-49-40-50-61-58(64)54-42-44-55(65-4)45-43-54/h13-16,19-22,42-45,56H,5-12,17-18,23-41,46-53H2,1-4H3,(H,60,63)(H,61,64)","MLFRWZXICSUCRI","C59H101N3O5","[M + H3N + H]+","CCCCCC=CCC=CCCCCCCCCC1(OCC(O1)CCN(C)CCCCCC(=O)NCCCNC(=O)C2=CC=C(C=C2)OC)CCCCCCCCC=CCC=CCCCCC","Alkaloids","Open-chain polyketides","Pseudoalkaloids (transamidation)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378018479507039,0.367265469061876,2.53979941834066,0.0558882235528942,-1.9715804023779,0.88622754491018,0.354309421855314,0.323353293413174,0.124047619047619,0.936127744510978
